id,zh_label,en_label,zh_description,en_description
P2179,,ACM Classification Code (2012),,ACM Computing Classification Code of 2012 (8 digits)
P2180,芬蘭國家傳記標識符,Kansallisbiografia ID,芬蘭國家傳記數據庫條目的代碼,code of the entry on the Kansallisbiografia database
P2182,,Finnish Ministers database ID,,code of the entry on the Finnish ministers database
P2189,,BiblioNet publisher ID,,identifier in the BiblioNet database of publishers
P2191,,NILF author id,,numeric author identifier within the Vegetti Catalog of Fantastic Literature
P2193,,Soccerbase player ID,,player ID on the Soccerbase.com website
P2197,,production rate,,amount of produced in a given time
P2200,,electric charge,,electric charge of a subatomic particle
P2208,,average shot length,,cinemetrical measure
P2209,資源鍛造項目,SourceForge project,一個軟件產品的官方資源鍛造存儲庫（“項目”）的標識符,identifier for an official SourceForge repository ("project") for a software product
P2248,,argument of periapsis,,angle from the body's ascending node to its periapsis
P2253,,DfE URN,,Department for Education Unique Reference Number; school identifier used by the UK government
P2254,,maximum operating altitude,,ceiling or maximum density altitude at which an aircraft can operate
P2257,事件频率,frequency of event,事件发生的频率,standard nominal interval between scheduled or regularly recurring events. Include unit of time, e.g. "year" (Q577)
P2258,行動裝置國家代碼,mobile country code,,identifier for countries in ITU-T Recommendation E.212 for use in describing mobile networks
P2267,,PolitiFact Personality ID,,person or group whose statements have been fact checked by PolitiFact.com
P2278,,Member of the Hellenic Parliament ID,,an identifier for members, or former members, of the national parliament of Greece
P2279,,ambitus,,musical interval/range of a melody
P2283,使用,uses,使用的对象,item or concept used by the subject or in the operation
P2294,經常收支,balance of trade,,exports minus imports. not to be confused with current account balance and balance of payments
P2307,命名空間,namespace,限定符與P2302一起定義屬性約束（維基數據屬性約束）,qualifier to define a property constraint in combination with P2302 (Wikidata property constraint)
P2312,最大数值,maximum value,,qualifier to define a property constraint in combination with P2302. "no value" can be used to specify no upper bound
P2324,,quantity buried,,number of remains buried or interred
P2327,,ProCyclingStats race ID,,
P2346,,Elonet movie ID,,identifier for a movie in the Elonet database
P2355,,UNESCO Atlas of the World's Languages in Danger ID,,identifier for endangered languages listed by UNESCO
P2359,,Roman nomen gentilicium,,standard part of the name of a Roman, link to items about the Roman gens only
P2379,,deprecated in version,,software version it was deprecated in
P2383,,CTHS person ID,,identifier for a person in the directory of French learned societies
P2392,,teaching method,,teaching method adopted by an educational institution
P2403,资产总值,total assets,,value of assets held by a private or public entity
P2408,時代背景,set in period,历史或未来时期的作品的設定,historical, contemporary or future period the work is set in
P2410,,WikiPathways ID,,describes in which biological pathways a biological entity occurs
P2412,時裝模特兒指南設計師標識符,FMD designer ID,到時裝模特兒指南網站上的設計師檔案的外部鏈接,external link to a designer's profile at the FMD (Fashion Model Directory) website
P2427,全球研究標識符數據庫標識符,GRID ID,來自全球研究標識數據庫的機構標識符,institutional identifier from the GRID.ac global research identifier database
P2437,季度数,number of seasons,電視節目系列或廣播系列的季節數,number of seasons a television or radio series has had
P2453,,nominee,,qualifier used with «nominated for» to specify which person or organization was nominated
P2454,,KNAW past member ID,,identifier for a person in the Royal Netherlands Academy of Arts and Sciences past member database
P2459,,IBU biathlete ID,,biathlete's identifier in the International Biathlon Union's database
P2462,,member of the deme,,
P2468,,Theatricalia theatre ID,,identifier for a theatre, in the theatricalia.com database
P2481,,Elite Prospects player ID,,ice hockey player ID assigned by Elite Prospects
P2482,,SABR person ID,,identifier of a person in the Society for American Baseball Research database
P2483,,NCES District ID,,identifier for a school district or education agency in the United States
P2499,,league level above,,the league above this sports league
P2532,最低气压,lowest atmospheric pressure,,minimum pressure measured or estimated for a storm (a measure of strength for tropical cyclones)
P2538,,Nationalmuseum Sweden artist ID,,artist identifier for Nationalmuseum in Sweden
P2547,周长,perimeter,,linear distance around the outside of an object
P2555,,fee,,fee or toll payable to use, transit or enter the subject (only for one-time fees, do NOT use it for an ongoing fee, tuition fee or trading fee)
P2559,维基数据使用说明,Wikidata usage instructions,,text describing how to use a property or item. Eventually, this statement is to replace usage instructions currently found in description. Until the corresponding feature is implemented, do not remove it from description.
P2561,名称,name,名稱主題是已知的。 如果有更具體的屬性，請使用它,name the subject is known by. If a more specific property is available, use that
P2564,,Köppen climate classification,,indicates the characteristic climate of a place
P2567,,amended by,,document is amended by specified other document
P2572,推特主题标签,Twitter hashtag,與此實體關聯的推特主題標籤。 格式：不包括“＃”符號,Twitter hashtag associated with this entity. Format: do not include the "#" symbol
P2574,,National-Football-Teams.com player ID,,identifier for a football player, at National-Football-Teams.com
P2575,,measures,,physical quantity that this device measures
P2583,,distance from Earth,,estimated distance to astronomical objects
P2587,,has phoneme,,the language's phonology includes this sound
P2597,,Gram staining,,Gram stain type of a bacterial strain
P2599,,block size,,size of block for this block cipher or hash function
P2606,戲驛唯一标识符,PlayStation ID,索尼计算机娱乐公司指定的PlayStation软件和硬件的唯一标识符,unique identifier of PlayStation software and hardware assigned by Sony Computer Entertainment Inc.
P2619,,Hungarian company ID,,identifier for a company in the company register of Hungary
P2624,,MetroLyrics ID,,identifier for a song or artist at the MetroLyrics website
P2641,,Davis Cup player ID,,identifier for a tennis player, in the Davis Cup database
P2657,,EU Transparency Register ID,,identity code for an organisation, in the transparency register of the European Union
P2685,,Basketball-Reference.com NBA player ID,,identifier for a NBA player on the Basketball Reference website
P2702,,dataset distribution,,particular manner of distribution of a data set (database or file) that is publicly available
P2723,,Deezer album ID,,identifier for an album or single on Deezer
P2725,,GOG application ID,,identifier for an application (or film) available from the distribution platform GOG.com
P2752,,New Zealand Organisms Register ID,,identifier for a taxon names in the New Zealand Organisms Register
P2772,,FIS alpine skier ID,,identifier for an alpine skier, in the International Ski Federation database
P2773,,FIS cross-country skier ID,,identifier for a cross-country skier, in the International Ski Federation database
P2775,,FIS ski jumper ID,,identifier for a ski jumper, in the International Ski Federation database
P2783,丹麥上市建築案例標識符,Danish listed buildings case ID,丹麥上市建築案例編號,case number of a listed building in Denmark
P2789,,connects with,,item with which the item is physically connected
P2793,,clearance,,distance between surface under bridge and bottom of a bridge deck
P2804,,World Sailing member ID,,member identifier for a sailor in the World Sailing database
P2809,,Australasian Pollen and Spore Atlas Code,,identifier for a pollen or spore in the Australasian Pollen and Spore Atlas, managed by the Australian National University
P2810,,LPGA Tour golf player ID,,identifier for a golf player, in the LPGA database
P2821,,by-product,,product of a chemical or industrial process, of secondary economic value
P2823,,Royal Belgian Football Association player ID,,identifier for a player, on the official Belgian football federation website
P2826,,Megogo ID,,identifier for the film in the database Megogo
P2839,,gait,,gait of an animal
P2843,,Benezit ID,,identifier in Benezit Dictionary of Artists
P2848,無線局域網,Wi-Fi access,通過無線局域網訪問互聯網,internet access availability through Wi-Fi
P2855,,VAT-rate,,percentage value-added tax in this country or region. Do not use for sales tax. For specialised rates, use qualifiers
P2896,出版频率,publication interval,期刊报纸的出版频率,standard publication interval for daily or periodical publications
P2928,,memory capacity,,memory storage capacity of some data storage device
P2945,,British Book Trade Index ID,,identifier for an individual or business entity listed in the  University of Oxford's Bodleian Libraries' British Book Trade Index database
P2950,,Nomisma ID,,identifier in Nomisma.org, a linked open data thesaurus of numismatic concepts
P2952,,boat of heritage interest ID,,identifier of a ship
P2970,,Kinopolis film ID,,identifier for films in the German Kinopolis database
P2971,,GCatholic church ID,,ID of a church on GCatholic.org
P2972,,SNAP ID,,identifier for an ancient person, in the SNAP project
P2974,,habitat,,the natural environment in which an organism lives, or the physical environment that surrounds a species population
P3000,法定结婚年龄,marriageable age,一般法律许可最小结婚年龄,性别不同，法定结婚年龄也不同。,minimum age at which a person is generally allowed by law to marry. Use qualifier "applies to part" (P518), to specify if it applies only to males (Q6581097), females (Q6581072) or both genders (Q27177113)
P3005,,valid in place,,place where a statement is valid
P3015,,backup or reserve team or crew,,team or crew that is kept ready to act as reserve
P3016,,French national research structure identifier,,identifier in the French national research structure repertory
P3033,软件包管理系统,package management system,包管理系统用于发布软件,package management system used to publish the software
P3038,,IWM memorial ID,,identifier for a war memorial, in the UK Imperial War Museum's War Memorials Register
P3039,,wheelbase,,distance between centers of front wheel and rear wheel
P3040,聲雲標識符,SoundCloud ID,聲雲上的個人，樂隊，廣播電台或其他實體的標識符,identifier for a person, band, radio station or other entity, on SoundCloud
P3055,,NAQ elected person ID,,official identifier of a person elected to the National Assembly of Quebec (NAQ) or one of its predecessors
P3067,,GS1 country code,,GS1 Prefix, the first three digits, usually identifying the national GS1 Member Organization to which the manufacturer is registered (not necessarily where the product is actually made)
P3071,,standard molar entropy,,entropy content of one mole of substance under standard conditions (25°C, 1 bar)
P3082,,destroyed,,physical items destroyed by this event
P3083,,SIMBAD ID,,identifier for an astronomical object, in the University of Strasbourg's SIMBAD database
P3085,,qualifies for event,,this event qualifies for that event
P3090,航班编号,flight number,,identifier for a specific flight
P3092,,film crew member,,member of the crew creating an audiovisual work, used for miscellaneous roles qualified with the job title when no specific property exists. Don't use if such a property is available: notably for cast member (P161), director (P57), etc.
P3093,,recovered by,,person, organisation or vehicle that recovered the item. Use the most specific value known.
P3100,,Flora of Australia ID (old),,identifier for a plant taxon, in the Flora of Australia Online
P3116,,ISzDb dub ID,,identifier of a dub version for a film in the ISzDb (a Hungarian dub database)
P3118,,OpenDomesday settlement ID,,Identifier for a British settlement, in the OpenDomesday digitisation of the Domesday Book
P3124,,Polish scientist ID,,identifier for a scientist, in the Polish Government's Information Processing Centre database
P3126,,ALCUIN ID,,identifier of a philosopher in the ALCUIN Infothek der Scholastik
P3129,,cine.gr film ID,,identifier for a movie at the Greek movie database cine.gr
P3150,生日,birthday,出生月和日。用於無法得知完整「出生日期」(P569)時,item for day and month on which the subject was born. Used when full "date of birth" (P569) isn't known.
P3153,,Crossref funder ID,,identifier for an organisation that funds research, in the Crossref registry
P3155,,Runeberg book ID,,Identifier for book item in the Runeberg digital library collection
P3159,,UGentMemorialis ID,,identifier for a professor at the Ghent University
P3165,,Horsetelex ID,,identifier for a horse on Horsetelex database
P3173,,offers view on,,things, places another place offers views on
P3174,,art director,,person credited as the art director/artistic director of this work
P3177,,Patrimonio Web JCyL ID,,identifier of a building or site in Patrimonio Web of Junta de Castilla y León
P3180,视觉小说数据库标识符,Visual Novel Database ID,視覺小說數據庫中的標識符,identifier at the Visual Novel Database
P3187,,Marburger Professorenkatalog ID,,identifier for a professor, in the Marburger Professorenkatalog of professors at the Philipps-Universität Marburg, Germany
P3196,USGS地震資料庫ID,USGS earthquake ID,,identifier for an earthquake or other seismic event, in the United States Geological Survey database
P3199,,charity number (Isle of Man),,Charity number of a charity or charitable organisation registered on the Isle of Man
P3205,,patient of,,was treated or studied as a patient by this person
P3215,,SIRET number,,number of a French establishment or company
P3224,,NAICS code,,classification in the North American Industry Classification System
P3253,,optimum viable temperature,,the operating temperature where the culturing of micro-organisms and/or enzyme activity thrives best
P3254,属性提议讨论,property proposal discussion,进行了創建属性的讨论的页面（或页面章節）的url,URL of the page (or page section) on which the creation of the property was discussed
P3273,,Actorenregister ID,,unique identifier in the Dutch Actorenregister database
P3333,,ACM Digital Library event ID,,unique identifier of an event or conference series of the Association for Computing Machinery (ACM)
P3344,,Vote Smart ID,,identifies candidates in US elections for national and state government within Project Vote Smart's database
P3349,,designed to carry,,what the vehicle or class of vehicles is or was designed to carry
P3358,,positive prognostic predictor,,the presence of the genetic variant helps to prognose good outcome for the disease
P3375,,GECD Firmen-ID,,identifier of a film company in the German Early Cinema Database
P3383,电影海报,film poster,,poster used to promote and advertise this film (if file is available on Commons). Use P154 for logos, P18 for movie stills and related images. Items about film posters can be linked with the qualifier "subject of" (P805).
P3394,,Finnish Lake ID,,ID for a lake in the Järviwiki database of Finnish lakes over 1 ha in extent.
P3413,,Leopoldina member ID,,identifier in the members' database of the Leopoldina – German Academy of Sciences
P3416,,end period,,last period in which the statement is still valid (including the period-value)
P3432,,parent cell line,,closest parent cell line of the cell line in question
P3434,,ERIH PLUS ID,,identifier of a journal in ERIH PLUS
P3439,,angular resolution,,angular resolution of an optical instrument
P3445,,Cinema of Israel ID,,Identifier number in "Cinema of Israel" website
P3447,,mirrors data from,,the website automatically crawls or mirrors another website as its data source
P3451,夜景,nighttime view,,image of the subject at night, or at least in twilight
P3466,,Israeli CBS municipal ID,,The Israeli municipal code (Hebrew סמל) is an outline encoding used by the Israel Central Bureau of Statistics to finely fine-tune their statistics. It's a unique identifier given to each municipality in Israel.
P3468,,National Inventors Hall of Fame ID,,identifier for an inductee in the United States National Inventors Hall of Fame
P3473,,Ubuntu package,,name of the official Ubuntu package
P3503,,LombardiaBeniCulturali building ID,,identifier of a historical building in the cultural heritage database of the Lombardy Region of Italy
P3544,,Te Papa person ID,,identifier assigned to a person by the Museum of New Zealand Te Papa Tongarewa
P3547,,AFL Tables player ID,,ID for a VFL/AFL player at afltables.com
P3556,,World Curling Tour ID,,ID on the World Curling Tour database
P3566,,Just Sports Stats ID,,ID for American or Canadian football player in www.justsportsstats.com
P3571,,ESPN.com MLB player ID,,ID for a Major League Baseball player at ESPN.com
P3581,,Pro Football Hall of Fame ID,,identifier for American football players in the Pro Football Hall of Fame
P3582,,SunshineTour golf player ID,,identifier for a golf player, in the SunshineTour database
P3592,沙羅周期,Saros cycle of eclipse,,
P3594,,Araneae Spider ID,,identifier for a taxon in araneae.nmbe.ch
P3636,,PDB ligand ID,,identifier for small molecules and ligands in the Protein Data Bank (PDB)
P3651,,American Hockey League player ID,,ID of a player at TheAHL.com
P3660,,FootballFacts.ru player ID,,ID for a football player at FootballFacts.ru
P3678,,SA Rugby player ID,,identifier for a rugby player on the South African Rugby Union website
P3680,主張此敘述者,statement supported by,,entity that supports a given statement
P3693,,short-track speed skater ISU ID,,identifier for a short track speed skater on the ShorttrackOnLine.info website, based on ISU ID
P3694,,SpeedSkatingNews.info speed skater ID,,identifier for a speed skater on the SpeedSkatingNews.info website
P3697,,Sports-Reference.com college football player ID,,identifier for a college football player on the Sports Reference college football (SRCFB) website
P3702,,Catalogue of Illuminated Manuscripts ID,,manuscript identifier in the British Library Catalogue of Illuminated Manuscripts
P3721,,public key fingerprint,,short sequence of bytes to identify a longer cryptographic public key
P3734,,category for value same as Wikidata,,item for categories of pages with template parameter value same as Wikidata
P3737,,maximum wavelength of sensitivity,,maximum wavelength that the item can detect
P3750,,KMDb documentary film ID,,ID of a documentary film at Korean Movie Database
P3751,,Shoftim BeIsrael judge ID,,database about the judges of Israel
P3752,最差時間複雜度,worst-case time complexity,一個演算法在最差情況的時間複雜度,time complexity of an algorithm at most
P3772,,agonist of,,protein for which this chemical acts as an agonist
P3782,Artnet 藝術家編號,Artnet artist ID,,identifier of an artist in the Artnet database of auction results
P3787,,danskefilm silent film ID,,identifier for a silent film in danskefilm.dk
P3795,,Flora of Israel Online plant ID,,identifier for a plant taxon or cultivar in the Flora of Israel Online database
P3801,,INEGI municipality ID,,identifier for a municipality in Mexico published by INEGI
P3835,,Mendeley person ID,,identifier for an author of scholarly works, at mendeley.com
P3852,,FlyBase Gene ID,,Identifier for a gene in the FlyBase database of Drosophila genes and genomes
P3862,,MyDramaList name ID,,identifier for a person in the MyDramaList database
P3878,,Soundex,,phonetic algorithm for indexing names by sound, as pronounced in English. Format: initial of word followed by 3 digits (0-6)
P3881,,National Track & Field Hall of Fame athlete ID,,identifier for an athlete on the National Track & Field Hall of Fame webpages
P3885,,History of Modern Biomedicine ID,,identifier of a person or topic in the History of Modern Biomedicine database
P3888,,Boijmans artist ID,,identifier for an artist in the Museum Boijmans Van Beuningen
P3892,,PictoRight ID-Droit de suite,,identifier for a visual artist for their droit de suite (money collection with artwork transfers) of the Dutch collective rights management organisation PictoRight and sister organisations worldwide
P3903,,column,,typographical column in the page of a document
P3913,,MobyGames developer ID,,ID of a developer at MobyGames
P3915,,Athletics Australia athlete ID,,identifier for an Australian athlete on the Athletics Australia website
P3916,教科文组织同义词库ID,UNESCO Thesaurus ID,,identifier for a concept in the UNESCO Thesaurus
P3923,,IAAF Diamond League athlete ID,,identifier for an athlete on the IAAF Diamond League website
P3932,,Digital Valencian Library author ID,,identifier of a person in the database of the Valencian Library, the regional library in the Land of Valencia, Spain
P3939,,ESTC citation number,,identifier in the English Short Title Catalogue
P3941,,Israel Antiquities Authority ID,,ID in the Israeli Antiquities Authority archive
P3943,湯博樂標識符,Tumblr ID,湯博樂上的帳戶名稱,account name on Tumblr
P3950,,narrower external class,,more specific subclass included in other ontology but not in Wikidata
P3953,,ALPG Tour golf player ID,,identifier for a female golf player on the Australian Ladies Professional Golf website
P3957,,RealGM basketball player ID,,identifier for a basketball player on the RealGM website
P3980,,Unifrance person ID,,identifier of a person on unifrance.org
P3995,,Filmweb.pl ID,,identifier for person, film (movie) or TV series, in the filmweb.pl database
P4015,我視頻用戶名,Vimeo username,此項目在我視頻上的用戶名,this item's username on Vimeo
P4021,,danskefilm animated film ID,,identifier for a animated film in danskefilm.dk
P4024,,ADW taxon ID,,identifier for a taxon, in the Animal Diversity Web database
P4026,,Cullum number,,identifier for a graduate of the US Military Academy (West Point)
P4038,,Danish List of Lights and Fog signals ID,,identifier in the Danish List of a Lighthouse, beacon or fog signal in the Kingdom of Denmark
P4068,,Chinese Olympic Committee athlete ID,,identifier for a Chinese athlete at the Chinese Olympic Committee's CIS Chinese Athletes Database website
P4073,维基亚维基标识符,Fandom wiki ID,維基亞中一個主題維基的標識符,identifier of a topic's wiki, in Fandom.com
P4076,,WorldSBK.com racer identifier,,identifier for a motorcycle racer on the WorldSBK.com website
P4079,,Theatres Trust Database ID,,identifier of the Theatres Trust Database
P4080,,number of houses,,number of houses in given territorial entity
P4104,,Carnegie Hall agent ID,,identifier for a person or ensemble in the Carnegie Hall Linked Open Data (LOD)
P4109,,URN-NBN,,URI in the urn:nbn: namespace as specified by RFC 3188
P4113,,FRED time-series ID,,identifier for an economic data set provided by St. Louis Fed's Federal Reserve Economic Data (FRED)
P4115,,INSPIRE ID,,universal identifier from Infrastructure for Spatial Information in the European Community (INSPIRE), used across EU databases
